id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
4742 Yale St|1|2025-11-21,apartment,29.835123,-95.402351,4742 Yale St,L1,Houston,TX,77018,,1,1,851,,Hexa Property Management,1045,1.23,2025-11-21 00:00:00,,inactive,0.354,,,37
4742 Yale St|2|2025-11-21,apartment,29.835123,-95.402351,4742 Yale St,L2,Houston,TX,77018,,1,1,851,,Hexa Property Management,880,1.03,2025-11-21 00:00:00,,inactive,0.354,,,37
4742 Yale St|3|2024-09-06,apartment,29.835123,-95.402351,4742 Yale St,L3,Houston,TX,77018,,1,1,728,,Hexa Property Management,830,1.14,2024-09-06 00:00:00,,inactive,0.354,,,37
101 E Tidwell Rd|1|2026-07-31,apartment,29.845783,-95.399094,101 E Tidwell Rd,L1,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1298,1.6,2026-07-31 00:00:00,,active,0.892,,,80
101 E Tidwell Rd|2|2026-07-31,apartment,29.845783,-95.399094,101 E Tidwell Rd,L2,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1285,1.58,2026-07-31 00:00:00,,active,0.892,,,80
101 E Tidwell Rd|3|2026-07-10,apartment,29.845783,-95.399094,101 E Tidwell Rd,L3,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1285,1.58,2026-07-10 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|4|2026-07-01,apartment,29.845783,-95.399094,101 E Tidwell Rd,L4,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1325,1.63,2026-07-01 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|5|2026-07-01,apartment,29.845783,-95.399094,101 E Tidwell Rd,L5,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1365,1.68,2026-07-01 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|6|2026-06-24,apartment,29.845783,-95.399094,101 E Tidwell Rd,L6,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1285,1.58,2026-06-24 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|7|2026-05-31,apartment,29.845783,-95.399094,101 E Tidwell Rd,L7,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1265,1.56,2026-05-31 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|8|2026-05-03,apartment,29.845783,-95.399094,101 E Tidwell Rd,L8,Houston,TX,77022,,1,1,654,,CDE Residential Llc,1135,1.74,2026-05-03 00:00:00,,inactive,0.892,,,80
101 E Tidwell Rd|9|2026-04-05,apartment,29.845783,-95.399094,101 E Tidwell Rd,L9,Houston,TX,77022,,2,1,812,,CDE Residential Llc,1285,1.58,2026-04-05 00:00:00,,inactive,0.892,,,80
